opportunity_id,outlet_id,outlet_name,territory_id,rep_id,outlet_type,tier,opportunity_type,score,priority,evidence,recommended_action,status
OPP-000164,344,Mohan Traders,12,61,Pharmacy,B,REVENUE_RECOVERY,92,HIGH,"[""Revenue declined 100.0% vs previous 30d"", ""Revenue gap of \u20b92,061"", ""Order frequency declined 100.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000165,344,Mohan Traders,12,61,Pharmacy,B,INACTIVE_OUTLET,75,HIGH,"[""No order for 54 days"", ""Zero revenue in current 30d"", ""Previous 30d revenue was \u20b92,061""]",Prioritize a reactivation visit. Investigate the reason for inactivity and attempt to recover previous purchasing behaviour.,OPEN
OPP-000166,345,Pillay Retail,3,83,Pharmacy,B,REVENUE_RECOVERY,45,LOW,"[""Revenue declined 15.9% vs previous 30d"", ""Revenue gap of \u20b9915"", ""Order frequency declined 33.3%""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000167,346,Solanki Retail,7,57,Convenience,B,REVENUE_RECOVERY,70,MEDIUM,"[""Revenue declined 38.7% vs previous 30d"", ""Revenue gap of \u20b94,004"", ""Order frequency declined 25.0%"", ""Revenue growth below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000168,347,Wali Supermarket,7,13,Pharmacy,C,REVENUE_RECOVERY,80,HIGH,"[""Revenue declined 100.0% vs previous 30d"", ""Revenue gap of \u20b9531"", ""Order frequency declined 100.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000169,347,Wali Supermarket,7,13,Pharmacy,C,INACTIVE_OUTLET,50,LOW,"[""No order for 42 days"", ""Zero revenue in current 30d""]",Prioritize a reactivation visit. Investigate the reason for inactivity and attempt to recover previous purchasing behaviour.,OPEN
OPP-000170,349,Sandal Traders,5,31,General Trade,B,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 100.0% vs previous 30d"", ""Revenue gap of \u20b98,566"", ""Order frequency declined 100.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000171,349,Sandal Traders,5,31,General Trade,B,INACTIVE_OUTLET,70,MEDIUM,"[""No order for 40 days"", ""Zero revenue in current 30d"", ""Previous 30d revenue was \u20b98,566""]",Prioritize a reactivation visit. Investigate the reason for inactivity and attempt to recover previous purchasing behaviour.,OPEN
OPP-000172,350,Narayanan Traders,12,87,Modern Trade,A,REVENUE_RECOVERY,42,LOW,"[""Revenue gap of \u20b94,600"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000173,353,Madan General Store,12,36,Convenience,B,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 91.7% vs previous 30d"", ""Revenue gap of \u20b911,627"", ""Order frequency declined 80.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000174,359,Mutti Traders,7,13,Supermarket,A,REVENUE_RECOVERY,78,HIGH,"[""Revenue declined 34.3% vs previous 30d"", ""Revenue gap of \u20b95,874"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000175,360,Dar Traders,4,12,Pharmacy,B,REVENUE_RECOVERY,58,MEDIUM,"[""Revenue declined 39.2% vs previous 30d"", ""Revenue gap of \u20b91,840"", ""Order frequency declined 25.0%"", ""Revenue growth below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000176,362,Goyal Mart,4,4,General Trade,A,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 71.2% vs previous 30d"", ""Revenue gap of \u20b917,502"", ""Order frequency declined 60.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000177,364,Kalita Supermarket,4,4,Pharmacy,B,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 100.0% vs previous 30d"", ""Revenue gap of \u20b98,541"", ""Order frequency declined 100.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000178,364,Kalita Supermarket,4,4,Pharmacy,B,INACTIVE_OUTLET,70,MEDIUM,"[""No order for 35 days"", ""Zero revenue in current 30d"", ""Previous 30d revenue was \u20b98,541""]",Prioritize a reactivation visit. Investigate the reason for inactivity and attempt to recover previous purchasing behaviour.,OPEN
OPP-000179,365,Sule Retail,5,71,General Trade,B,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 100.0% vs previous 30d"", ""Revenue gap of \u20b95,468"", ""Order frequency declined 100.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000180,365,Sule Retail,5,71,General Trade,B,INACTIVE_OUTLET,70,MEDIUM,"[""No order for 42 days"", ""Zero revenue in current 30d"", ""Previous 30d revenue was \u20b95,468""]",Prioritize a reactivation visit. Investigate the reason for inactivity and attempt to recover previous purchasing behaviour.,OPEN
OPP-000181,367,Vohra Mart,10,100,Modern Trade,B,REVENUE_RECOVERY,75,HIGH,"[""Revenue declined 39.1% vs previous 30d"", ""Revenue gap of \u20b94,593"", ""Order frequency declined 66.7%"", ""Revenue growth below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000182,368,Mandal Retail,12,78,Pharmacy,C,REVENUE_RECOVERY,50,LOW,"[""Revenue declined 29.7% vs previous 30d"", ""Revenue gap of \u20b91,703"", ""Order frequency declined 66.7%""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000183,369,Chaudhry Supermarket,10,33,Convenience,B,REVENUE_RECOVERY,60,MEDIUM,"[""Revenue declined 40.2% vs previous 30d"", ""Revenue gap of \u20b92,256"", ""Revenue growth below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000184,370,Hari Supermarket,9,85,Convenience,C,REVENUE_RECOVERY,80,HIGH,"[""Revenue declined 100.0% vs previous 30d"", ""Revenue gap of \u20b91,687"", ""Order frequency declined 100.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000185,370,Hari Supermarket,9,85,Convenience,C,INACTIVE_OUTLET,60,MEDIUM,"[""No order for 42 days"", ""Zero revenue in current 30d"", ""Previous 30d revenue was \u20b91,687""]",Prioritize a reactivation visit. Investigate the reason for inactivity and attempt to recover previous purchasing behaviour.,OPEN
OPP-000186,374,Gola Supermarket,1,52,Convenience,C,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 100.0% vs previous 30d"", ""Revenue gap of \u20b96,714"", ""Order frequency declined 100.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000187,374,Gola Supermarket,1,52,Convenience,C,INACTIVE_OUTLET,70,MEDIUM,"[""No order for 36 days"", ""Zero revenue in current 30d"", ""Previous 30d revenue was \u20b96,714""]",Prioritize a reactivation visit. Investigate the reason for inactivity and attempt to recover previous purchasing behaviour.,OPEN
OPP-000188,380,Bath Traders,3,88,General Trade,B,REVENUE_RECOVERY,90,HIGH,"[""Revenue declined 68.8% vs previous 30d"", ""Revenue gap of \u20b912,214"", ""Order frequency declined"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000189,382,Master Mart,10,63,Supermarket,C,REVENUE_RECOVERY,65,MEDIUM,"[""Revenue declined 66.9% vs previous 30d"", ""Revenue gap of \u20b9941"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000190,383,Date Mart,1,27,Pharmacy,C,REVENUE_RECOVERY,92,HIGH,"[""Revenue declined 100.0% vs previous 30d"", ""Revenue gap of \u20b93,027"", ""Order frequency declined 100.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000191,383,Date Mart,1,27,Pharmacy,C,INACTIVE_OUTLET,60,MEDIUM,"[""No order for 33 days"", ""Zero revenue in current 30d"", ""Previous 30d revenue was \u20b93,027""]",Prioritize a reactivation visit. Investigate the reason for inactivity and attempt to recover previous purchasing behaviour.,OPEN
OPP-000192,385,Chauhan General Store,8,69,Supermarket,C,REVENUE_RECOVERY,92,HIGH,"[""Revenue declined 100.0% vs previous 30d"", ""Revenue gap of \u20b94,344"", ""Order frequency declined 100.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000193,385,Chauhan General Store,8,69,Supermarket,C,INACTIVE_OUTLET,60,MEDIUM,"[""No order for 31 days"", ""Zero revenue in current 30d"", ""Previous 30d revenue was \u20b94,344""]",Prioritize a reactivation visit. Investigate the reason for inactivity and attempt to recover previous purchasing behaviour.,OPEN
OPP-000194,389,Srinivas Mart,10,63,Pharmacy,C,REVENUE_RECOVERY,80,HIGH,"[""Revenue declined 100.0% vs previous 30d"", ""Revenue gap of \u20b9531"", ""Order frequency declined 100.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000195,389,Srinivas Mart,10,63,Pharmacy,C,INACTIVE_OUTLET,50,LOW,"[""No order for 41 days"", ""Zero revenue in current 30d""]",Prioritize a reactivation visit. Investigate the reason for inactivity and attempt to recover previous purchasing behaviour.,OPEN
OPP-000196,393,Behl General Store,12,61,Supermarket,B,REVENUE_RECOVERY,40,LOW,"[""Revenue declined 20.6% vs previous 30d"", ""Revenue gap of \u20b91,392"", ""Revenue growth below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000197,394,Krishnan Mart,9,35,Pharmacy,C,REVENUE_RECOVERY,67,MEDIUM,"[""Revenue declined 61.9% vs previous 30d"", ""Revenue gap of \u20b93,230"", ""Revenue growth below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000198,396,Comar Traders,3,67,Supermarket,B,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 100.0% vs previous 30d"", ""Revenue gap of \u20b99,240"", ""Order frequency declined 100.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000199,396,Comar Traders,3,67,Supermarket,B,INACTIVE_OUTLET,70,MEDIUM,"[""No order for 40 days"", ""Zero revenue in current 30d"", ""Previous 30d revenue was \u20b99,240""]",Prioritize a reactivation visit. Investigate the reason for inactivity and attempt to recover previous purchasing behaviour.,OPEN
OPP-000200,400,Borah Retail,10,6,Pharmacy,B,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 86.1% vs previous 30d"", ""Revenue gap of \u20b96,493"", ""Order frequency declined 50.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000201,403,Dixit Traders,9,35,Pharmacy,C,REVENUE_RECOVERY,65,MEDIUM,"[""Revenue declined 100.0% vs previous 30d"", ""Order frequency declined 100.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000202,403,Dixit Traders,9,35,Pharmacy,C,INACTIVE_OUTLET,50,LOW,"[""No order for 43 days"", ""Zero revenue in current 30d""]",Prioritize a reactivation visit. Investigate the reason for inactivity and attempt to recover previous purchasing behaviour.,OPEN
OPP-000203,405,Chada Traders,12,87,Supermarket,A,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 57.7% vs previous 30d"", ""Revenue gap of \u20b927,757"", ""Order frequency declined 57.1%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000204,407,Dani Supermarket,3,2,Convenience,C,REVENUE_RECOVERY,48,LOW,"[""Revenue declined 45.9% vs previous 30d"", ""Revenue gap of \u20b91,563"", ""Revenue growth below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000205,409,Kara Supermarket,6,45,Convenience,A,REVENUE_RECOVERY,93,HIGH,"[""Revenue declined 46.9% vs previous 30d"", ""Revenue gap of \u20b95,992"", ""Order frequency declined 66.7%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000206,410,Virk Mart,6,65,General Trade,C,REVENUE_RECOVERY,80,HIGH,"[""Revenue declined 79.1% vs previous 30d"", ""Revenue gap of \u20b91,839"", ""Order frequency declined 50.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000207,412,Seshadri Traders,7,57,Pharmacy,B,REVENUE_RECOVERY,60,MEDIUM,"[""Revenue declined 31.8% vs previous 30d"", ""Revenue gap of \u20b93,300"", ""Revenue growth below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000208,413,Savant General Store,1,3,Convenience,B,REVENUE_RECOVERY,85,HIGH,"[""Revenue declined 48.0% vs previous 30d"", ""Revenue gap of \u20b94,206"", ""Order frequency declined 50.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000209,414,Mishra Supermarket,6,80,Modern Trade,C,REVENUE_RECOVERY,80,HIGH,"[""Revenue declined 100.0% vs previous 30d"", ""Revenue gap of \u20b91,503"", ""Order frequency declined 100.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000210,414,Mishra Supermarket,6,80,Modern Trade,C,INACTIVE_OUTLET,75,HIGH,"[""No order for 45 days"", ""Zero revenue in current 30d"", ""Previous 30d revenue was \u20b91,503""]",Prioritize a reactivation visit. Investigate the reason for inactivity and attempt to recover previous purchasing behaviour.,OPEN
OPP-000211,415,Sanghvi Traders,5,47,Supermarket,C,REVENUE_RECOVERY,67,MEDIUM,"[""Revenue declined 65.0% vs previous 30d"", ""Revenue gap of \u20b92,418"", ""Revenue growth below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000212,416,Mody General Store,12,92,General Trade,C,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 100.0% vs previous 30d"", ""Revenue gap of \u20b95,209"", ""Order frequency declined 100.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000213,416,Mody General Store,12,92,General Trade,C,INACTIVE_OUTLET,70,MEDIUM,"[""No order for 39 days"", ""Zero revenue in current 30d"", ""Previous 30d revenue was \u20b95,209""]",Prioritize a reactivation visit. Investigate the reason for inactivity and attempt to recover previous purchasing behaviour.,OPEN
OPP-000214,417,Bhasin Retail,12,46,General Trade,B,REVENUE_RECOVERY,40,LOW,"[""Revenue declined 20.4% vs previous 30d"", ""Revenue gap of \u20b91,751"", ""Revenue growth below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000215,423,Dugar Traders,5,42,Convenience,C,REVENUE_RECOVERY,80,HIGH,"[""Revenue declined 100.0% vs previous 30d"", ""Revenue gap of \u20b91,186"", ""Order frequency declined 100.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000216,423,Dugar Traders,5,42,Convenience,C,INACTIVE_OUTLET,60,MEDIUM,"[""No order for 40 days"", ""Zero revenue in current 30d"", ""Previous 30d revenue was \u20b91,186""]",Prioritize a reactivation visit. Investigate the reason for inactivity and attempt to recover previous purchasing behaviour.,OPEN
OPP-000217,427,Dugar Supermarket,3,91,Pharmacy,C,REVENUE_RECOVERY,92,HIGH,"[""Revenue declined 100.0% vs previous 30d"", ""Revenue gap of \u20b93,080"", ""Order frequency declined 100.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000218,427,Dugar Supermarket,3,91,Pharmacy,C,INACTIVE_OUTLET,60,MEDIUM,"[""No order for 40 days"", ""Zero revenue in current 30d"", ""Previous 30d revenue was \u20b93,080""]",Prioritize a reactivation visit. Investigate the reason for inactivity and attempt to recover previous purchasing behaviour.,OPEN
OPP-000219,430,Seshadri Supermarket,3,89,General Trade,B,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 53.2% vs previous 30d"", ""Revenue gap of \u20b97,286"", ""Order frequency declined 50.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000220,432,Manne Traders,3,89,Pharmacy,C,REVENUE_RECOVERY,92,HIGH,"[""Revenue declined 100.0% vs previous 30d"", ""Revenue gap of \u20b93,389"", ""Order frequency declined 100.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000221,432,Manne Traders,3,89,Pharmacy,C,INACTIVE_OUTLET,75,HIGH,"[""No order for 45 days"", ""Zero revenue in current 30d"", ""Previous 30d revenue was \u20b93,389""]",Prioritize a reactivation visit. Investigate the reason for inactivity and attempt to recover previous purchasing behaviour.,OPEN
OPP-000222,433,Bali Retail,5,71,Modern Trade,A,REVENUE_RECOVERY,88,HIGH,"[""Revenue declined 31.1% vs previous 30d"", ""Revenue gap of \u20b97,698"", ""Order frequency declined 25.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000223,434,Kata Supermarket,6,29,Convenience,C,REVENUE_RECOVERY,90,HIGH,"[""Revenue declined 56.7% vs previous 30d"", ""Revenue gap of \u20b96,246"", ""Order frequency declined 75.0%"", ""Revenue growth below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000224,435,Mani General Store,2,38,Modern Trade,A,REVENUE_RECOVERY,35,LOW,"[""Revenue gap of \u20b91,958"", ""Order frequency declined 50.0%"", ""Revenue growth below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000225,436,Mandal Supermarket,1,49,Supermarket,B,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 85.4% vs previous 30d"", ""Revenue gap of \u20b919,295"", ""Order frequency declined 80.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000226,437,Setty Mart,4,1,General Trade,B,REVENUE_RECOVERY,95,HIGH,"[""Revenue declined 59.3% vs previous 30d"", ""Revenue gap of \u20b97,283"", ""Order frequency declined 40.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000227,439,Kaur Mart,3,91,Convenience,B,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 95.5% vs previous 30d"", ""Revenue gap of \u20b922,557"", ""Order frequency declined 83.3%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000228,440,Lalla Retail,8,70,Modern Trade,B,REVENUE_RECOVERY,77,HIGH,"[""Revenue declined 64.4% vs previous 30d"", ""Revenue gap of \u20b93,294"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000229,441,Hora Supermarket,5,47,Convenience,B,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 100.0% vs previous 30d"", ""Revenue gap of \u20b97,521"", ""Order frequency declined 100.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000230,441,Hora Supermarket,5,47,Convenience,B,INACTIVE_OUTLET,85,HIGH,"[""No order for 52 days"", ""Zero revenue in current 30d"", ""Previous 30d revenue was \u20b97,521""]",Prioritize a reactivation visit. Investigate the reason for inactivity and attempt to recover previous purchasing behaviour.,OPEN
OPP-000231,447,Dhar Traders,8,55,General Trade,B,REVENUE_RECOVERY,85,HIGH,"[""Revenue declined 91.6% vs previous 30d"", ""Revenue gap of \u20b97,116"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000232,450,Gandhi Supermarket,1,3,General Trade,C,REVENUE_RECOVERY,82,HIGH,"[""Revenue declined 71.4% vs previous 30d"", ""Revenue gap of \u20b93,560"", ""Order frequency declined 50.0%"", ""Revenue growth below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000233,451,Mohanty Supermarket,10,6,General Trade,B,REVENUE_RECOVERY,92,HIGH,"[""Revenue declined 75.8% vs previous 30d"", ""Revenue gap of \u20b94,411"", ""Order frequency declined 50.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000234,455,Sidhu Supermarket,4,1,Convenience,C,REVENUE_RECOVERY,67,MEDIUM,"[""Revenue declined 85.5% vs previous 30d"", ""Revenue gap of \u20b92,914"", ""Revenue growth below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000235,456,Modi Supermarket,7,28,Modern Trade,C,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 100.0% vs previous 30d"", ""Revenue gap of \u20b98,240"", ""Order frequency declined 100.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000236,460,Zacharia Supermarket,4,41,Supermarket,B,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 75.2% vs previous 30d"", ""Revenue gap of \u20b97,934"", ""Order frequency declined 80.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000237,461,Tak Mart,5,47,General Trade,C,REVENUE_RECOVERY,70,MEDIUM,"[""Revenue declined 37.8% vs previous 30d"", ""Revenue gap of \u20b93,412"", ""Order frequency declined 50.0%""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000238,463,Buch General Store,10,100,Modern Trade,B,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 100.0% vs previous 30d"", ""Revenue gap of \u20b911,673"", ""Order frequency declined 100.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000239,463,Buch General Store,10,100,Modern Trade,B,INACTIVE_OUTLET,70,MEDIUM,"[""No order for 31 days"", ""Zero revenue in current 30d"", ""Previous 30d revenue was \u20b911,673""]",Prioritize a reactivation visit. Investigate the reason for inactivity and attempt to recover previous purchasing behaviour.,OPEN
OPP-000240,464,Baral General Store,12,18,General Trade,A,REVENUE_RECOVERY,62,MEDIUM,"[""Revenue declined 18.0% vs previous 30d"", ""Revenue gap of \u20b93,128"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000241,465,Sankaran Supermarket,4,4,Modern Trade,C,REVENUE_RECOVERY,65,MEDIUM,"[""Revenue declined 100.0% vs previous 30d"", ""Order frequency declined 100.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000242,465,Sankaran Supermarket,4,4,Modern Trade,C,INACTIVE_OUTLET,65,MEDIUM,"[""No order for 54 days"", ""Zero revenue in current 30d""]",Prioritize a reactivation visit. Investigate the reason for inactivity and attempt to recover previous purchasing behaviour.,OPEN
OPP-000243,474,Gill Retail,3,67,Pharmacy,B,REVENUE_RECOVERY,75,HIGH,"[""Revenue declined 31.8% vs previous 30d"", ""Revenue gap of \u20b92,383"", ""Order frequency declined 50.0%"", ""Revenue growth below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000244,478,Mall Mart,10,6,Modern Trade,C,REVENUE_RECOVERY,92,HIGH,"[""Revenue declined 100.0% vs previous 30d"", ""Revenue gap of \u20b93,088"", ""Order frequency declined 100.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000245,478,Mall Mart,10,6,Modern Trade,C,INACTIVE_OUTLET,75,HIGH,"[""No order for 45 days"", ""Zero revenue in current 30d"", ""Previous 30d revenue was \u20b93,088""]",Prioritize a reactivation visit. Investigate the reason for inactivity and attempt to recover previous purchasing behaviour.,OPEN
OPP-000246,480,Sarin Retail,5,82,General Trade,C,REVENUE_RECOVERY,92,HIGH,"[""Revenue declined 100.0% vs previous 30d"", ""Revenue gap of \u20b92,300"", ""Order frequency declined 100.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000247,480,Sarin Retail,5,82,General Trade,C,INACTIVE_OUTLET,60,MEDIUM,"[""No order for 42 days"", ""Zero revenue in current 30d"", ""Previous 30d revenue was \u20b92,300""]",Prioritize a reactivation visit. Investigate the reason for inactivity and attempt to recover previous purchasing behaviour.,OPEN
OPP-000248,481,Swamy Traders,4,62,Convenience,B,REVENUE_RECOVERY,77,HIGH,"[""Revenue declined 52.4% vs previous 30d"", ""Revenue gap of \u20b94,009"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000249,486,Nath Retail,7,84,General Trade,B,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 84.7% vs previous 30d"", ""Revenue gap of \u20b97,842"", ""Order frequency declined 50.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
