opportunity_id,outlet_id,outlet_name,territory_id,rep_id,outlet_type,tier,opportunity_type,score,severity,evidence,recommended_action,status
OPP-000191,370,Hari Supermarket,9,85,Convenience,C,INACTIVE_OUTLET,65,MEDIUM,"[""No order for 42 days"", ""Zero revenue in the current 30-day period""]",Prioritize a reactivation visit. Investigate the reason for inactivity and attempt to recover the outlet's previous purchasing behaviour.,OPEN
OPP-000192,374,Gola Supermarket,1,52,Convenience,C,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 100.0% vs previous 30d"", ""Revenue gap of \u20b96,714 vs previous 30d"", ""Order frequency declined 100.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000193,374,Gola Supermarket,1,52,Convenience,C,INACTIVE_OUTLET,80,HIGH,"[""No order for 36 days"", ""Zero revenue in the current 30-day period"", ""Previous 30d revenue was \u20b96,714""]",Prioritize a reactivation visit. Investigate the reason for inactivity and attempt to recover the outlet's previous purchasing behaviour.,OPEN
OPP-000194,380,Bath Traders,3,88,General Trade,B,REVENUE_RECOVERY,90,HIGH,"[""Revenue declined 68.8% vs previous 30d"", ""Revenue gap of \u20b912,214 vs previous 30d"", ""Order frequency declined"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000195,382,Master Mart,10,63,Supermarket,C,REVENUE_RECOVERY,70,MEDIUM,"[""Revenue declined 66.9% vs previous 30d"", ""Revenue gap of \u20b9941 vs previous 30d"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000196,383,Date Mart,1,27,Pharmacy,C,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 100.0% vs previous 30d"", ""Revenue gap of \u20b93,027 vs previous 30d"", ""Order frequency declined 100.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000197,383,Date Mart,1,27,Pharmacy,C,INACTIVE_OUTLET,65,MEDIUM,"[""No order for 33 days"", ""Zero revenue in the current 30-day period""]",Prioritize a reactivation visit. Investigate the reason for inactivity and attempt to recover the outlet's previous purchasing behaviour.,OPEN
OPP-000198,385,Chauhan General Store,8,69,Supermarket,C,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 100.0% vs previous 30d"", ""Revenue gap of \u20b94,344 vs previous 30d"", ""Order frequency declined 100.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000199,385,Chauhan General Store,8,69,Supermarket,C,INACTIVE_OUTLET,65,MEDIUM,"[""No order for 31 days"", ""Zero revenue in the current 30-day period""]",Prioritize a reactivation visit. Investigate the reason for inactivity and attempt to recover the outlet's previous purchasing behaviour.,OPEN
OPP-000200,389,Srinivas Mart,10,63,Pharmacy,C,REVENUE_RECOVERY,90,HIGH,"[""Revenue declined 100.0% vs previous 30d"", ""Revenue gap of \u20b9531 vs previous 30d"", ""Order frequency declined 100.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000201,389,Srinivas Mart,10,63,Pharmacy,C,INACTIVE_OUTLET,65,MEDIUM,"[""No order for 41 days"", ""Zero revenue in the current 30-day period""]",Prioritize a reactivation visit. Investigate the reason for inactivity and attempt to recover the outlet's previous purchasing behaviour.,OPEN
OPP-000202,392,Gour General Store,7,84,Pharmacy,A,REVENUE_RECOVERY,45,MEDIUM,"[""Revenue gap of \u20b91,748 vs previous 30d"", ""Order frequency declined 33.3%""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000203,393,Behl General Store,12,61,Supermarket,B,REVENUE_RECOVERY,60,MEDIUM,"[""Revenue declined 20.6% vs previous 30d"", ""Revenue gap of \u20b91,392 vs previous 30d""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000204,394,Krishnan Mart,9,35,Pharmacy,C,REVENUE_RECOVERY,60,MEDIUM,"[""Revenue declined 61.9% vs previous 30d"", ""Revenue gap of \u20b93,230 vs previous 30d""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000205,396,Comar Traders,3,67,Supermarket,B,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 100.0% vs previous 30d"", ""Revenue gap of \u20b99,240 vs previous 30d"", ""Order frequency declined 100.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000206,396,Comar Traders,3,67,Supermarket,B,INACTIVE_OUTLET,80,HIGH,"[""No order for 40 days"", ""Zero revenue in the current 30-day period"", ""Previous 30d revenue was \u20b99,240""]",Prioritize a reactivation visit. Investigate the reason for inactivity and attempt to recover the outlet's previous purchasing behaviour.,OPEN
OPP-000207,400,Borah Retail,10,6,Pharmacy,B,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 86.1% vs previous 30d"", ""Revenue gap of \u20b96,493 vs previous 30d"", ""Order frequency declined 50.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000208,403,Dixit Traders,9,35,Pharmacy,C,REVENUE_RECOVERY,75,HIGH,"[""Revenue declined 100.0% vs previous 30d"", ""Order frequency declined 100.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000209,403,Dixit Traders,9,35,Pharmacy,C,INACTIVE_OUTLET,65,MEDIUM,"[""No order for 43 days"", ""Zero revenue in the current 30-day period""]",Prioritize a reactivation visit. Investigate the reason for inactivity and attempt to recover the outlet's previous purchasing behaviour.,OPEN
OPP-000210,405,Chada Traders,12,87,Supermarket,A,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 57.7% vs previous 30d"", ""Revenue gap of \u20b927,757 vs previous 30d"", ""Order frequency declined 57.1%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000211,407,Dani Supermarket,3,2,Convenience,C,REVENUE_RECOVERY,60,MEDIUM,"[""Revenue declined 45.9% vs previous 30d"", ""Revenue gap of \u20b91,563 vs previous 30d""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000212,409,Kara Supermarket,6,45,Convenience,A,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 46.9% vs previous 30d"", ""Revenue gap of \u20b95,992 vs previous 30d"", ""Order frequency declined 66.7%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000213,410,Virk Mart,6,65,General Trade,C,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 79.1% vs previous 30d"", ""Revenue gap of \u20b91,839 vs previous 30d"", ""Order frequency declined 50.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000214,412,Seshadri Traders,7,57,Pharmacy,B,REVENUE_RECOVERY,60,MEDIUM,"[""Revenue declined 31.8% vs previous 30d"", ""Revenue gap of \u20b93,300 vs previous 30d""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000215,413,Savant General Store,1,3,Convenience,B,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 48.0% vs previous 30d"", ""Revenue gap of \u20b94,206 vs previous 30d"", ""Order frequency declined 50.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000216,414,Mishra Supermarket,6,80,Modern Trade,C,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 100.0% vs previous 30d"", ""Revenue gap of \u20b91,503 vs previous 30d"", ""Order frequency declined 100.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000217,414,Mishra Supermarket,6,80,Modern Trade,C,INACTIVE_OUTLET,65,MEDIUM,"[""No order for 45 days"", ""Zero revenue in the current 30-day period""]",Prioritize a reactivation visit. Investigate the reason for inactivity and attempt to recover the outlet's previous purchasing behaviour.,OPEN
OPP-000218,415,Sanghvi Traders,5,47,Supermarket,C,REVENUE_RECOVERY,60,MEDIUM,"[""Revenue declined 65.0% vs previous 30d"", ""Revenue gap of \u20b92,418 vs previous 30d""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000219,416,Mody General Store,12,92,General Trade,C,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 100.0% vs previous 30d"", ""Revenue gap of \u20b95,209 vs previous 30d"", ""Order frequency declined 100.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000220,416,Mody General Store,12,92,General Trade,C,INACTIVE_OUTLET,80,HIGH,"[""No order for 39 days"", ""Zero revenue in the current 30-day period"", ""Previous 30d revenue was \u20b95,209""]",Prioritize a reactivation visit. Investigate the reason for inactivity and attempt to recover the outlet's previous purchasing behaviour.,OPEN
OPP-000221,417,Bhasin Retail,12,46,General Trade,B,REVENUE_RECOVERY,60,MEDIUM,"[""Revenue declined 20.4% vs previous 30d"", ""Revenue gap of \u20b91,751 vs previous 30d""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000222,423,Dugar Traders,5,42,Convenience,C,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 100.0% vs previous 30d"", ""Revenue gap of \u20b91,186 vs previous 30d"", ""Order frequency declined 100.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000223,423,Dugar Traders,5,42,Convenience,C,INACTIVE_OUTLET,65,MEDIUM,"[""No order for 40 days"", ""Zero revenue in the current 30-day period""]",Prioritize a reactivation visit. Investigate the reason for inactivity and attempt to recover the outlet's previous purchasing behaviour.,OPEN
OPP-000224,427,Dugar Supermarket,3,91,Pharmacy,C,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 100.0% vs previous 30d"", ""Revenue gap of \u20b93,080 vs previous 30d"", ""Order frequency declined 100.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000225,427,Dugar Supermarket,3,91,Pharmacy,C,INACTIVE_OUTLET,65,MEDIUM,"[""No order for 40 days"", ""Zero revenue in the current 30-day period""]",Prioritize a reactivation visit. Investigate the reason for inactivity and attempt to recover the outlet's previous purchasing behaviour.,OPEN
OPP-000226,430,Seshadri Supermarket,3,89,General Trade,B,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 53.2% vs previous 30d"", ""Revenue gap of \u20b97,286 vs previous 30d"", ""Order frequency declined 50.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000227,432,Manne Traders,3,89,Pharmacy,C,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 100.0% vs previous 30d"", ""Revenue gap of \u20b93,389 vs previous 30d"", ""Order frequency declined 100.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000228,432,Manne Traders,3,89,Pharmacy,C,INACTIVE_OUTLET,65,MEDIUM,"[""No order for 45 days"", ""Zero revenue in the current 30-day period""]",Prioritize a reactivation visit. Investigate the reason for inactivity and attempt to recover the outlet's previous purchasing behaviour.,OPEN
OPP-000229,433,Bali Retail,5,71,Modern Trade,A,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 31.1% vs previous 30d"", ""Revenue gap of \u20b97,698 vs previous 30d"", ""Order frequency declined 25.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000230,434,Kata Supermarket,6,29,Convenience,C,REVENUE_RECOVERY,80,HIGH,"[""Revenue declined 56.7% vs previous 30d"", ""Revenue gap of \u20b96,246 vs previous 30d"", ""Order frequency declined 75.0%""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000231,435,Mani General Store,2,38,Modern Trade,A,REVENUE_RECOVERY,65,MEDIUM,"[""Revenue declined 9.6% vs previous 30d"", ""Revenue gap of \u20b91,958 vs previous 30d"", ""Order frequency declined 50.0%""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000232,436,Mandal Supermarket,1,49,Supermarket,B,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 85.4% vs previous 30d"", ""Revenue gap of \u20b919,295 vs previous 30d"", ""Order frequency declined 80.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000233,437,Setty Mart,4,1,General Trade,B,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 59.3% vs previous 30d"", ""Revenue gap of \u20b97,283 vs previous 30d"", ""Order frequency declined 40.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000234,439,Kaur Mart,3,91,Convenience,B,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 95.5% vs previous 30d"", ""Revenue gap of \u20b922,557 vs previous 30d"", ""Order frequency declined 83.3%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000235,440,Lalla Retail,8,70,Modern Trade,B,REVENUE_RECOVERY,80,HIGH,"[""Revenue declined 64.4% vs previous 30d"", ""Revenue gap of \u20b93,294 vs previous 30d"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000236,441,Hora Supermarket,5,47,Convenience,B,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 100.0% vs previous 30d"", ""Revenue gap of \u20b97,521 vs previous 30d"", ""Order frequency declined 100.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000237,441,Hora Supermarket,5,47,Convenience,B,INACTIVE_OUTLET,80,HIGH,"[""No order for 52 days"", ""Zero revenue in the current 30-day period"", ""Previous 30d revenue was \u20b97,521""]",Prioritize a reactivation visit. Investigate the reason for inactivity and attempt to recover the outlet's previous purchasing behaviour.,OPEN
OPP-000238,443,Contractor Retail,4,32,Pharmacy,C,REVENUE_RECOVERY,40,MEDIUM,"[""Revenue declined 9.9% vs previous 30d"", ""Order frequency declined 50.0%""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000239,447,Dhar Traders,8,55,General Trade,B,REVENUE_RECOVERY,80,HIGH,"[""Revenue declined 91.6% vs previous 30d"", ""Revenue gap of \u20b97,116 vs previous 30d"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000240,450,Gandhi Supermarket,1,3,General Trade,C,REVENUE_RECOVERY,80,HIGH,"[""Revenue declined 71.4% vs previous 30d"", ""Revenue gap of \u20b93,560 vs previous 30d"", ""Order frequency declined 50.0%""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000241,451,Mohanty Supermarket,10,6,General Trade,B,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 75.8% vs previous 30d"", ""Revenue gap of \u20b94,411 vs previous 30d"", ""Order frequency declined 50.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000242,455,Sidhu Supermarket,4,1,Convenience,C,REVENUE_RECOVERY,60,MEDIUM,"[""Revenue declined 85.5% vs previous 30d"", ""Revenue gap of \u20b92,914 vs previous 30d""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000243,456,Modi Supermarket,7,28,Modern Trade,C,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 100.0% vs previous 30d"", ""Revenue gap of \u20b98,240 vs previous 30d"", ""Order frequency declined 100.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000244,460,Zacharia Supermarket,4,41,Supermarket,B,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 75.2% vs previous 30d"", ""Revenue gap of \u20b97,934 vs previous 30d"", ""Order frequency declined 80.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000245,461,Tak Mart,5,47,General Trade,C,REVENUE_RECOVERY,80,HIGH,"[""Revenue declined 37.8% vs previous 30d"", ""Revenue gap of \u20b93,412 vs previous 30d"", ""Order frequency declined 50.0%""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000246,463,Buch General Store,10,100,Modern Trade,B,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 100.0% vs previous 30d"", ""Revenue gap of \u20b911,673 vs previous 30d"", ""Order frequency declined 100.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000247,463,Buch General Store,10,100,Modern Trade,B,INACTIVE_OUTLET,80,HIGH,"[""No order for 31 days"", ""Zero revenue in the current 30-day period"", ""Previous 30d revenue was \u20b911,673""]",Prioritize a reactivation visit. Investigate the reason for inactivity and attempt to recover the outlet's previous purchasing behaviour.,OPEN
OPP-000248,464,Baral General Store,12,18,General Trade,A,REVENUE_RECOVERY,80,HIGH,"[""Revenue declined 18.0% vs previous 30d"", ""Revenue gap of \u20b93,128 vs previous 30d"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000249,465,Sankaran Supermarket,4,4,Modern Trade,C,REVENUE_RECOVERY,75,HIGH,"[""Revenue declined 100.0% vs previous 30d"", ""Order frequency declined 100.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000250,465,Sankaran Supermarket,4,4,Modern Trade,C,INACTIVE_OUTLET,65,MEDIUM,"[""No order for 54 days"", ""Zero revenue in the current 30-day period""]",Prioritize a reactivation visit. Investigate the reason for inactivity and attempt to recover the outlet's previous purchasing behaviour.,OPEN
OPP-000251,474,Gill Retail,3,67,Pharmacy,B,REVENUE_RECOVERY,80,HIGH,"[""Revenue declined 31.8% vs previous 30d"", ""Revenue gap of \u20b92,383 vs previous 30d"", ""Order frequency declined 50.0%""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000252,475,Singhal Mart,6,65,General Trade,B,REVENUE_RECOVERY,55,MEDIUM,"[""Revenue declined 13.6% vs previous 30d"", ""Revenue gap of \u20b9739 vs previous 30d"", ""Order frequency declined 50.0%""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000253,478,Mall Mart,10,6,Modern Trade,C,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 100.0% vs previous 30d"", ""Revenue gap of \u20b93,088 vs previous 30d"", ""Order frequency declined 100.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000254,478,Mall Mart,10,6,Modern Trade,C,INACTIVE_OUTLET,65,MEDIUM,"[""No order for 45 days"", ""Zero revenue in the current 30-day period""]",Prioritize a reactivation visit. Investigate the reason for inactivity and attempt to recover the outlet's previous purchasing behaviour.,OPEN
OPP-000255,480,Sarin Retail,5,82,General Trade,C,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 100.0% vs previous 30d"", ""Revenue gap of \u20b92,300 vs previous 30d"", ""Order frequency declined 100.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000256,480,Sarin Retail,5,82,General Trade,C,INACTIVE_OUTLET,65,MEDIUM,"[""No order for 42 days"", ""Zero revenue in the current 30-day period""]",Prioritize a reactivation visit. Investigate the reason for inactivity and attempt to recover the outlet's previous purchasing behaviour.,OPEN
OPP-000257,481,Swamy Traders,4,62,Convenience,B,REVENUE_RECOVERY,80,HIGH,"[""Revenue declined 52.4% vs previous 30d"", ""Revenue gap of \u20b94,009 vs previous 30d"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000258,486,Nath Retail,7,84,General Trade,B,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 84.7% vs previous 30d"", ""Revenue gap of \u20b97,842 vs previous 30d"", ""Order frequency declined 50.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000259,488,Cheema Supermarket,3,11,Pharmacy,C,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 84.2% vs previous 30d"", ""Revenue gap of \u20b96,235 vs previous 30d"", ""Order frequency declined 50.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000260,490,Narayan Traders,12,53,Convenience,A,REVENUE_RECOVERY,80,HIGH,"[""Revenue declined 23.1% vs previous 30d"", ""Revenue gap of \u20b94,025 vs previous 30d"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000261,491,Sabharwal Traders,9,73,Modern Trade,C,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 100.0% vs previous 30d"", ""Revenue gap of \u20b96,530 vs previous 30d"", ""Order frequency declined 100.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000262,491,Sabharwal Traders,9,73,Modern Trade,C,INACTIVE_OUTLET,80,HIGH,"[""No order for 32 days"", ""Zero revenue in the current 30-day period"", ""Previous 30d revenue was \u20b96,530""]",Prioritize a reactivation visit. Investigate the reason for inactivity and attempt to recover the outlet's previous purchasing behaviour.,OPEN
OPP-000263,495,Bansal General Store,10,21,General Trade,C,REVENUE_RECOVERY,80,HIGH,"[""Revenue declined 42.1% vs previous 30d"", ""Revenue gap of \u20b92,275 vs previous 30d"", ""Order frequency declined 66.7%""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000264,496,Sha Mart,11,56,Supermarket,A,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 37.5% vs previous 30d"", ""Revenue gap of \u20b912,733 vs previous 30d"", ""Order frequency declined 42.9%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000265,498,Murty Mart,5,82,Convenience,B,REVENUE_RECOVERY,70,MEDIUM,"[""Revenue declined 56.4% vs previous 30d"", ""Revenue gap of \u20b912,663 vs previous 30d"", ""Order frequency declined""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000266,504,Agarwal Retail,7,44,Convenience,C,REVENUE_RECOVERY,60,MEDIUM,"[""Revenue declined 41.8% vs previous 30d"", ""Revenue gap of \u20b92,465 vs previous 30d""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000267,510,Pathak Mart,12,64,Supermarket,B,REVENUE_RECOVERY,60,MEDIUM,"[""Revenue declined 32.5% vs previous 30d"", ""Revenue gap of \u20b92,740 vs previous 30d""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000268,511,Tara General Store,6,80,General Trade,A,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 76.7% vs previous 30d"", ""Revenue gap of \u20b936,357 vs previous 30d"", ""Order frequency declined 66.7%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000269,516,Deep Mart,4,41,Pharmacy,A,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 53.7% vs previous 30d"", ""Revenue gap of \u20b921,842 vs previous 30d"", ""Order frequency declined 50.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000270,517,Mani Mart,8,34,Supermarket,B,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 100.0% vs previous 30d"", ""Revenue gap of \u20b99,551 vs previous 30d"", ""Order frequency declined 100.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000271,517,Mani Mart,8,34,Supermarket,B,INACTIVE_OUTLET,80,HIGH,"[""No order for 36 days"", ""Zero revenue in the current 30-day period"", ""Previous 30d revenue was \u20b99,551""]",Prioritize a reactivation visit. Investigate the reason for inactivity and attempt to recover the outlet's previous purchasing behaviour.,OPEN
OPP-000272,519,Sundaram Supermarket,7,24,Modern Trade,A,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 56.4% vs previous 30d"", ""Revenue gap of \u20b921,231 vs previous 30d"", ""Order frequency declined 50.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000273,520,Dara Mart,6,72,Modern Trade,C,REVENUE_RECOVERY,75,HIGH,"[""Revenue declined 100.0% vs previous 30d"", ""Order frequency declined 100.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000274,520,Dara Mart,6,72,Modern Trade,C,INACTIVE_OUTLET,65,MEDIUM,"[""No order for 56 days"", ""Zero revenue in the current 30-day period""]",Prioritize a reactivation visit. Investigate the reason for inactivity and attempt to recover the outlet's previous purchasing behaviour.,OPEN
OPP-000275,521,Balakrishnan Mart,3,2,Convenience,B,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 71.8% vs previous 30d"", ""Revenue gap of \u20b99,595 vs previous 30d"", ""Order frequency declined 66.7%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
