global_rank,type_rank,opportunity_id,outlet_id,opportunity_type,priority_score,priority_band,action_urgency,score,priority,evidence,recommended_action,revenue_30d,revenue_previous_30d,revenue_per_visit_30d,target_achievement_pct,revenue_index_vs_peer,visits_30d,productive_visits_30d,ev_target_category,ev_territory_category_rank,ev_territory_category_orders_90d,ev_current_category_count_90d,ev_revenue_previous_30d,ev_revenue_30d,ev_revenue_growth_30d,ev_revenue_gap_vs_previous_30d,ev_orders_previous_30d,ev_orders_30d,ev_revenue_index_vs_peer,ev_days_since_last_order,ev_stockout_events_90d,ev_stockout_rate_90d,ev_avg_closing_stock_90d
254,94,OPP-002012,2940,Revenue Recovery,75.12,P2,Planned,85.48,HIGH,"{""revenue_previous_30d"": 9869.3, ""revenue_30d"": 912.52, ""revenue_growth_30d"": -0.9075, ""revenue_gap_vs_previous_30d"": 8956.78, ""orders_previous_30d"": 3, ""orders_30d"": 1, ""revenue_index_vs_peer"": 0.203}","Review the outlet's recent order decline, identify the lost SKU/category demand, and schedule a recovery visit with a targeted reorder proposal.",912.52,9869.3,228.13,2.331342857266949,0.2030845926156722,4.0,3.0,,,,,9869.3,912.52,-0.9075,8956.78,3.0,1.0,0.203,,,,
255,45,OPP-001185,1793,Inactive Outlet,75.03,P2,Planned,70.0,MEDIUM,"{""revenue_previous_30d"": 26162.78, ""revenue_30d"": 0.0, ""orders_previous_30d"": 5, ""orders_30d"": 0, ""days_since_last_order"": 31}","Prioritize a win-back visit, diagnose the reason for inactivity, and attempt a targeted reorder based on the outlet's prior mix.",0.0,26162.78,0.0,0.0,0.0,1.0,0.0,,,,,26162.78,0.0,,,5.0,0.0,,31.0,,,
256,95,OPP-001210,1828,Revenue Recovery,75.01,P2,Planned,80.0,MEDIUM,"{""revenue_previous_30d"": 17713.65, ""revenue_30d"": 2369.95, ""revenue_growth_30d"": -0.8662, ""revenue_gap_vs_previous_30d"": 15343.7, ""orders_previous_30d"": 6, ""orders_30d"": 1, ""revenue_index_vs_peer"": 0.542}","Review the outlet's recent order decline, identify the lost SKU/category demand, and schedule a recovery visit with a targeted reorder proposal.",2369.95,17713.65,1184.975,34.34800885371773,0.5423871948149436,2.0,1.0,,,,,17713.65,2369.95,-0.8662,15343.7,6.0,1.0,0.542,,,,
257,46,OPP-000418,658,Inactive Outlet,75.0,P2,Planned,78.0,MEDIUM,"{""revenue_previous_30d"": 11022.09, ""revenue_30d"": 0.0, ""orders_previous_30d"": 2, ""orders_30d"": 0, ""days_since_last_order"": 49}","Prioritize a win-back visit, diagnose the reason for inactivity, and attempt a targeted reorder based on the outlet's prior mix.",0.0,11022.09,0.0,0.0,0.0,2.0,2.0,,,,,11022.09,0.0,,,2.0,0.0,,49.0,,,
258,47,OPP-001538,2288,Inactive Outlet,74.94,P2,Planned,70.0,MEDIUM,"{""revenue_previous_30d"": 14945.83, ""revenue_30d"": 0.0, ""orders_previous_30d"": 4, ""orders_30d"": 0, ""days_since_last_order"": 36}","Prioritize a win-back visit, diagnose the reason for inactivity, and attempt a targeted reorder based on the outlet's prior mix.",0.0,14945.829999999998,0.0,0.0,0.0,0.0,0.0,,,,,14945.83,0.0,,,4.0,0.0,,36.0,,,
259,96,OPP-000901,1403,Revenue Recovery,74.87,P2,Planned,67.6,MEDIUM,"{""revenue_previous_30d"": 55435.13, ""revenue_30d"": 14533.2, ""revenue_growth_30d"": -0.7378, ""revenue_gap_vs_previous_30d"": 40901.93, ""orders_previous_30d"": 9, ""orders_30d"": 2, ""revenue_index_vs_peer"": 0.714}","Review the outlet's recent order decline, identify the lost SKU/category demand, and schedule a recovery visit with a targeted reorder proposal.",14533.2,55435.13,2422.2000000000003,25.081931948074264,0.7142806239364022,6.0,4.0,,,,,55435.13,14533.2,-0.7378,40901.93,9.0,2.0,0.714,,,,
260,97,OPP-000311,498,Revenue Recovery,74.66,P2,Planned,74.74,MEDIUM,"{""revenue_previous_30d"": 22450.89, ""revenue_30d"": 2741.64, ""revenue_growth_30d"": -0.8779, ""revenue_gap_vs_previous_30d"": 19709.25, ""orders_previous_30d"": 6, ""orders_30d"": 4, ""revenue_index_vs_peer"": 0.447}","Review the outlet's recent order decline, identify the lost SKU/category demand, and schedule a recovery visit with a targeted reorder proposal.",2741.643,22450.890000000003,2741.643,7.155302816769078,0.4472887541663471,1.0,0.0,,,,,22450.89,2741.64,-0.8779,19709.25,6.0,4.0,0.447,,,,
261,48,OPP-000589,918,Inactive Outlet,74.62,P2,Planned,70.0,MEDIUM,"{""revenue_previous_30d"": 13257.28, ""revenue_30d"": 0.0, ""orders_previous_30d"": 3, ""orders_30d"": 0, ""days_since_last_order"": 40}","Prioritize a win-back visit, diagnose the reason for inactivity, and attempt a targeted reorder based on the outlet's prior mix.",0.0,13257.28,0.0,0.0,0.0,0.0,0.0,,,,,13257.28,0.0,,,3.0,0.0,,40.0,,,
262,98,OPP-001383,2087,Revenue Recovery,74.59,P2,Planned,68.72,MEDIUM,"{""revenue_previous_30d"": 26908.75, ""revenue_30d"": 6449.5, ""revenue_growth_30d"": -0.7603, ""revenue_gap_vs_previous_30d"": 20459.25, ""orders_previous_30d"": 3, ""orders_30d"": 2, ""revenue_index_vs_peer"": 0.3}","Review the outlet's recent order decline, identify the lost SKU/category demand, and schedule a recovery visit with a targeted reorder proposal.",6449.499,26908.75,6449.499,10.064613596492189,0.3003023511310055,1.0,1.0,,,,,26908.75,6449.5,-0.7603,20459.25,3.0,2.0,0.3,,,,
263,112,OPP-000842,1299,Cross-Sell,74.58,P2,Planned,98.0,HIGH,"{""target_category"": ""Snacks"", ""territory_category_rank"": 1, ""territory_category_orders_90d"": 901, ""current_category_count_90d"": 1}","Introduce Snacks during the next outlet visit and assess fit, expected demand, and an initial reorder quantity.",0.0,296.88,0.0,0.0,0.0,0.0,0.0,Snacks,1.0,901.0,1.0,,,,,,,,,,,
264,113,OPP-000930,1438,Cross-Sell,74.58,P2,Planned,98.0,HIGH,"{""target_category"": ""Snacks"", ""territory_category_rank"": 1, ""territory_category_orders_90d"": 901, ""current_category_count_90d"": 1}","Introduce Snacks during the next outlet visit and assess fit, expected demand, and an initial reorder quantity.",0.0,1065.2,0.0,0.0,0.0,2.0,1.0,Snacks,1.0,901.0,1.0,,,,,,,,,,,
265,114,OPP-001262,1898,Cross-Sell,74.58,P2,Planned,98.0,HIGH,"{""target_category"": ""Snacks"", ""territory_category_rank"": 1, ""territory_category_orders_90d"": 901, ""current_category_count_90d"": 1}","Introduce Snacks during the next outlet visit and assess fit, expected demand, and an initial reorder quantity.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,Snacks,1.0,901.0,1.0,,,,,,,,,,,
266,115,OPP-001902,2783,Cross-Sell,74.58,P2,Planned,98.0,HIGH,"{""target_category"": ""Snacks"", ""territory_category_rank"": 1, ""territory_category_orders_90d"": 901, ""current_category_count_90d"": 1}","Introduce Snacks during the next outlet visit and assess fit, expected demand, and an initial reorder quantity.",113.21,0.0,113.21,0.6523906391365232,0.0649192022295367,1.0,0.0,Snacks,1.0,901.0,1.0,,,,,,,,,,,
267,49,OPP-000833,1284,Inactive Outlet,74.56,P2,Planned,70.0,MEDIUM,"{""revenue_previous_30d"": 14569.08, ""revenue_30d"": 0.0, ""orders_previous_30d"": 4, ""orders_30d"": 0, ""days_since_last_order"": 36}","Prioritize a win-back visit, diagnose the reason for inactivity, and attempt a targeted reorder based on the outlet's prior mix.",0.0,14569.08,0.0,0.0,0.0,2.0,0.0,,,,,14569.08,0.0,,,4.0,0.0,,36.0,,,
268,99,OPP-000640,1002,Revenue Recovery,74.52,P2,Planned,85.01,HIGH,"{""revenue_previous_30d"": 9396.31, ""revenue_30d"": 747.57, ""revenue_growth_30d"": -0.9204, ""revenue_gap_vs_previous_30d"": 8648.74, ""orders_previous_30d"": 2, ""orders_30d"": 1, ""revenue_index_vs_peer"": 0.128}","Review the outlet's recent order decline, identify the lost SKU/category demand, and schedule a recovery visit with a targeted reorder proposal.",747.57,9396.31,747.57,1.8147735192652643,0.1277246804192052,1.0,0.0,,,,,9396.31,747.57,-0.9204,8648.74,2.0,1.0,0.128,,,,
269,100,OPP-000581,907,Revenue Recovery,74.42,P2,Planned,74.06,MEDIUM,"{""revenue_previous_30d"": 16826.28, ""revenue_30d"": 3794.96, ""revenue_growth_30d"": -0.7745, ""revenue_gap_vs_previous_30d"": 13031.32, ""orders_previous_30d"": 4, ""orders_30d"": 2, ""revenue_index_vs_peer"": 0.177}","Review the outlet's recent order decline, identify the lost SKU/category demand, and schedule a recovery visit with a targeted reorder proposal.",3794.96,16826.28,542.1371428571429,6.104660889349884,0.1767013857119942,7.0,3.0,,,,,16826.28,3794.96,-0.7745,13031.32,4.0,2.0,0.177,,,,
270,50,OPP-000871,1345,Inactive Outlet,74.34,P2,Planned,70.0,MEDIUM,"{""revenue_previous_30d"": 13251.68, ""revenue_30d"": 0.0, ""orders_previous_30d"": 7, ""orders_30d"": 0, ""days_since_last_order"": 36}","Prioritize a win-back visit, diagnose the reason for inactivity, and attempt a targeted reorder based on the outlet's prior mix.",0.0,13251.68,0.0,0.0,0.0,0.0,0.0,,,,,13251.68,0.0,,,7.0,0.0,,36.0,,,
271,101,OPP-001743,2563,Revenue Recovery,74.3,P2,Planned,66.52,MEDIUM,"{""revenue_previous_30d"": 33545.66, ""revenue_30d"": 8616.53, ""revenue_growth_30d"": -0.7431, ""revenue_gap_vs_previous_30d"": 24929.13, ""orders_previous_30d"": 5, ""orders_30d"": 3, ""revenue_index_vs_peer"": 0.433}","Review the outlet's recent order decline, identify the lost SKU/category demand, and schedule a recovery visit with a targeted reorder proposal.",8616.53,33545.66,4308.265,15.050589122006905,0.4332845230995437,2.0,2.0,,,,,33545.66,8616.53,-0.7431,24929.13,5.0,3.0,0.433,,,,
272,51,OPP-001803,2632,Inactive Outlet,74.18,P2,Planned,70.0,MEDIUM,"{""revenue_previous_30d"": 14391.92, ""revenue_30d"": 0.0, ""orders_previous_30d"": 4, ""orders_30d"": 0, ""days_since_last_order"": 36}","Prioritize a win-back visit, diagnose the reason for inactivity, and attempt a targeted reorder based on the outlet's prior mix.",0.0,14391.92,0.0,0.0,0.0,1.0,0.0,,,,,14391.92,0.0,,,4.0,0.0,,36.0,,,
273,52,OPP-000940,1452,Inactive Outlet,74.14,P2,Planned,70.0,MEDIUM,"{""revenue_previous_30d"": 15086.46, ""revenue_30d"": 0.0, ""orders_previous_30d"": 3, ""orders_30d"": 0, ""days_since_last_order"": 37}","Prioritize a win-back visit, diagnose the reason for inactivity, and attempt a targeted reorder based on the outlet's prior mix.",0.0,15086.46,0.0,0.0,0.0,3.0,2.0,,,,,15086.46,0.0,,,3.0,0.0,,37.0,,,
274,102,OPP-000979,1513,Revenue Recovery,73.89,P2,Planned,65.06,MEDIUM,"{""revenue_previous_30d"": 44023.36, ""revenue_30d"": 13180.68, ""revenue_growth_30d"": -0.7006, ""revenue_gap_vs_previous_30d"": 30842.68, ""orders_previous_30d"": 6, ""orders_30d"": 2, ""revenue_index_vs_peer"": 0.599}","Review the outlet's recent order decline, identify the lost SKU/category demand, and schedule a recovery visit with a targeted reorder proposal.",13180.68,44023.36,4393.56,21.7153732627362,0.598612453403286,3.0,3.0,,,,,44023.36,13180.68,-0.7006,30842.68,6.0,2.0,0.599,,,,
275,103,OPP-000725,1119,Revenue Recovery,73.87,P2,Planned,85.64,HIGH,"{""revenue_previous_30d"": 8694.69, ""revenue_30d"": 640.26, ""revenue_growth_30d"": -0.9264, ""revenue_gap_vs_previous_30d"": 8054.43, ""orders_previous_30d"": 2, ""orders_30d"": 1, ""revenue_index_vs_peer"": 0.114}","Review the outlet's recent order decline, identify the lost SKU/category demand, and schedule a recovery visit with a targeted reorder proposal.",640.26,8694.69,128.052,1.7391512205377715,0.1135939848023291,5.0,4.0,,,,,8694.69,640.26,-0.9264,8054.43,2.0,1.0,0.114,,,,
276,104,OPP-000271,436,Revenue Recovery,73.82,P2,Planned,76.65,MEDIUM,"{""revenue_previous_30d"": 22605.43, ""revenue_30d"": 3310.05, ""revenue_growth_30d"": -0.8536, ""revenue_gap_vs_previous_30d"": 19295.38, ""orders_previous_30d"": 5, ""orders_30d"": 1, ""revenue_index_vs_peer"": 0.674}","Review the outlet's recent order decline, identify the lost SKU/category demand, and schedule a recovery visit with a targeted reorder proposal.",3310.05,22605.43,3310.05,12.940222838195853,0.6736554823229162,1.0,1.0,,,,,22605.43,3310.05,-0.8536,19295.38,5.0,1.0,0.674,,,,
277,116,OPP-000230,377,Cross-Sell,73.81,P2,Planned,96.0,HIGH,"{""target_category"": ""Snacks"", ""territory_category_rank"": 1, ""territory_category_orders_90d"": 1105, ""current_category_count_90d"": 2}","Introduce Snacks during the next outlet visit and assess fit, expected demand, and an initial reorder quantity.",386.81,374.82,128.93666666666667,2.079444778943747,0.2652017414555552,3.0,3.0,Snacks,1.0,1105.0,2.0,,,,,,,,,,,
278,117,OPP-001190,1802,Cross-Sell,73.81,P2,Planned,96.0,HIGH,"{""target_category"": ""Snacks"", ""territory_category_rank"": 1, ""territory_category_orders_90d"": 1105, ""current_category_count_90d"": 2}","Introduce Snacks during the next outlet visit and assess fit, expected demand, and an initial reorder quantity.",1592.92,0.0,796.46,7.759829733088397,1.0921257413184329,2.0,1.0,Snacks,1.0,1105.0,2.0,,,,,,,,,,,
279,118,OPP-001729,2551,Cross-Sell,73.81,P2,Planned,96.0,HIGH,"{""target_category"": ""Snacks"", ""territory_category_rank"": 1, ""territory_category_orders_90d"": 1105, ""current_category_count_90d"": 2}","Introduce Snacks during the next outlet visit and assess fit, expected demand, and an initial reorder quantity.",0.0,1380.94,0.0,0.0,0.0,0.0,0.0,Snacks,1.0,1105.0,2.0,,,,,,,,,,,
280,105,OPP-002001,2929,Revenue Recovery,73.8,P2,Planned,79.58,MEDIUM,"{""revenue_previous_30d"": 14635.69, ""revenue_30d"": 1898.53, ""revenue_growth_30d"": -0.8703, ""revenue_gap_vs_previous_30d"": 12737.16, ""orders_previous_30d"": 3, ""orders_30d"": 1, ""revenue_index_vs_peer"": 0.423}","Review the outlet's recent order decline, identify the lost SKU/category demand, and schedule a recovery visit with a targeted reorder proposal.",1898.53,14635.69,1898.53,4.463374925797711,0.42252464780896,1.0,0.0,,,,,14635.69,1898.53,-0.8703,12737.16,3.0,1.0,0.423,,,,
281,106,OPP-000079,131,Revenue Recovery,73.69,P2,Planned,65.48,MEDIUM,"{""revenue_previous_30d"": 34904.6, ""revenue_30d"": 9256.88, ""revenue_growth_30d"": -0.7348, ""revenue_gap_vs_previous_30d"": 25647.72, ""orders_previous_30d"": 5, ""orders_30d"": 3, ""revenue_index_vs_peer"": 0.463}","Review the outlet's recent order decline, identify the lost SKU/category demand, and schedule a recovery visit with a targeted reorder proposal.",9256.878,34904.6,4628.439,13.580821403316248,0.4634813026614852,2.0,1.0,,,,,34904.6,9256.88,-0.7348,25647.72,5.0,3.0,0.463,,,,
282,53,OPP-000613,953,Inactive Outlet,73.68,P2,Planned,70.0,MEDIUM,"{""revenue_previous_30d"": 15832.28, ""revenue_30d"": 0.0, ""orders_previous_30d"": 3, ""orders_30d"": 0, ""days_since_last_order"": 36}","Prioritize a win-back visit, diagnose the reason for inactivity, and attempt a targeted reorder based on the outlet's prior mix.",0.0,15832.28,0.0,0.0,0.0,4.0,3.0,,,,,15832.28,0.0,,,3.0,0.0,,36.0,,,
283,107,OPP-000038,63,Revenue Recovery,73.57,P2,Planned,67.09,MEDIUM,"{""revenue_previous_30d"": 29764.37, ""revenue_30d"": 8180.79, ""revenue_growth_30d"": -0.7251, ""revenue_gap_vs_previous_30d"": 21583.58, ""orders_previous_30d"": 4, ""orders_30d"": 2, ""revenue_index_vs_peer"": 0.411}","Review the outlet's recent order decline, identify the lost SKU/category demand, and schedule a recovery visit with a targeted reorder proposal.",8180.790000000001,29764.37,8180.790000000001,17.772982682956528,0.4113732202786407,1.0,0.0,,,,,29764.37,8180.79,-0.7251,21583.58,4.0,2.0,0.411,,,,
284,119,OPP-001092,1672,Cross-Sell,73.41,P2,Planned,98.0,HIGH,"{""target_category"": ""Snacks"", ""territory_category_rank"": 1, ""territory_category_orders_90d"": 899, ""current_category_count_90d"": 1}","Introduce Snacks during the next outlet visit and assess fit, expected demand, and an initial reorder quantity.",0.0,0.0,0.0,0.0,0.0,2.0,1.0,Snacks,1.0,899.0,1.0,,,,,,,,,,,
285,120,OPP-001422,2130,Cross-Sell,73.41,P2,Planned,98.0,HIGH,"{""target_category"": ""Snacks"", ""territory_category_rank"": 1, ""territory_category_orders_90d"": 899, ""current_category_count_90d"": 1}","Introduce Snacks during the next outlet visit and assess fit, expected demand, and an initial reorder quantity.",0.0,134.02,0.0,0.0,0.0,3.0,1.0,Snacks,1.0,899.0,1.0,,,,,,,,,,,
286,108,OPP-000822,1261,Revenue Recovery,73.34,P2,Planned,69.33,MEDIUM,"{""revenue_previous_30d"": 23894.52, ""revenue_30d"": 6242.88, ""revenue_growth_30d"": -0.7387, ""revenue_gap_vs_previous_30d"": 17651.64, ""orders_previous_30d"": 4, ""orders_30d"": 2, ""revenue_index_vs_peer"": 0.326}","Review the outlet's recent order decline, identify the lost SKU/category demand, and schedule a recovery visit with a targeted reorder proposal.",6242.8815,23894.52,3121.44075,8.36419982175328,0.3255178963938679,2.0,1.0,,,,,23894.52,6242.88,-0.7387,17651.64,4.0,2.0,0.326,,,,
287,109,OPP-001305,1962,Revenue Recovery,73.26,P2,Planned,82.75,HIGH,"{""revenue_previous_30d"": 9793.47, ""revenue_30d"": 1005.53, ""revenue_growth_30d"": -0.8973, ""revenue_gap_vs_previous_30d"": 8787.94, ""orders_previous_30d"": 2, ""orders_30d"": 1, ""revenue_index_vs_peer"": 0.171}","Review the outlet's recent order decline, identify the lost SKU/category demand, and schedule a recovery visit with a targeted reorder proposal.",1005.53,9793.47,502.765,2.525010797834406,0.1708472445226019,2.0,1.0,,,,,9793.47,1005.53,-0.8973,8787.94,2.0,1.0,0.171,,,,
288,110,OPP-000130,216,Revenue Recovery,73.2,P2,Planned,70.85,MEDIUM,"{""revenue_previous_30d"": 22440.48, ""revenue_30d"": 5276.7, ""revenue_growth_30d"": -0.7649, ""revenue_gap_vs_previous_30d"": 17163.78, ""orders_previous_30d"": 4, ""orders_30d"": 2, ""revenue_index_vs_peer"": 0.346}","Review the outlet's recent order decline, identify the lost SKU/category demand, and schedule a recovery visit with a targeted reorder proposal.",5276.700000000001,22440.480000000003,5276.700000000001,7.488327294695418,0.3463246934291048,1.0,1.0,,,,,22440.48,5276.7,-0.7649,17163.78,4.0,2.0,0.346,,,,
289,111,OPP-001775,2597,Revenue Recovery,73.02,P2,Planned,79.32,MEDIUM,"{""revenue_previous_30d"": 12212.74, ""revenue_30d"": 1572.28, ""revenue_growth_30d"": -0.8713, ""revenue_gap_vs_previous_30d"": 10640.46, ""orders_previous_30d"": 4, ""orders_30d"": 2, ""revenue_index_vs_peer"": 0.278}","Review the outlet's recent order decline, identify the lost SKU/category demand, and schedule a recovery visit with a targeted reorder proposal.",1572.2775,12212.74,786.1387500000001,3.7154783802995306,0.2779697469542757,2.0,1.0,,,,,12212.74,1572.28,-0.8713,10640.46,4.0,2.0,0.278,,,,
290,112,OPP-001805,2635,Revenue Recovery,72.93,P2,Planned,66.98,MEDIUM,"{""revenue_previous_30d"": 27032.6, ""revenue_30d"": 6885.59, ""revenue_growth_30d"": -0.7453, ""revenue_gap_vs_previous_30d"": 20147.01, ""orders_previous_30d"": 6, ""orders_30d"": 4, ""revenue_index_vs_peer"": 0.346}","Review the outlet's recent order decline, identify the lost SKU/category demand, and schedule a recovery visit with a targeted reorder proposal.",6885.594,27032.6,1377.1188,12.16305674967568,0.3462439418822983,5.0,4.0,,,,,27032.6,6885.59,-0.7453,20147.01,6.0,4.0,0.346,,,,
291,113,OPP-000371,595,Revenue Recovery,72.89,P2,Planned,77.9,MEDIUM,"{""revenue_previous_30d"": 13485.95, ""revenue_30d"": 1911.53, ""revenue_growth_30d"": -0.8583, ""revenue_gap_vs_previous_30d"": 11574.42, ""orders_previous_30d"": 4, ""orders_30d"": 2, ""revenue_index_vs_peer"": 0.312}","Review the outlet's recent order decline, identify the lost SKU/category demand, and schedule a recovery visit with a targeted reorder proposal.",1911.528,13485.95,955.764,5.210739499825403,0.3118586109402607,2.0,1.0,,,,,13485.95,1911.53,-0.8583,11574.42,4.0,2.0,0.312,,,,
292,114,OPP-000218,362,Revenue Recovery,72.82,P2,Planned,68.56,MEDIUM,"{""revenue_previous_30d"": 24591.74, ""revenue_30d"": 7089.72, ""revenue_growth_30d"": -0.7117, ""revenue_gap_vs_previous_30d"": 17502.02, ""orders_previous_30d"": 5, ""orders_30d"": 2, ""revenue_index_vs_peer"": 0.35}","Review the outlet's recent order decline, identify the lost SKU/category demand, and schedule a recovery visit with a targeted reorder proposal.",7089.72,24591.74,1181.62,11.487100319399367,0.3504829588850939,6.0,3.0,,,,,24591.74,7089.72,-0.7117,17502.02,5.0,2.0,0.35,,,,
293,115,OPP-000890,1378,Revenue Recovery,72.74,P2,Planned,74.03,MEDIUM,"{""revenue_previous_30d"": 14741.18, ""revenue_30d"": 4275.31, ""revenue_growth_30d"": -0.71, ""revenue_gap_vs_previous_30d"": 10465.87, ""orders_previous_30d"": 6, ""orders_30d"": 1, ""revenue_index_vs_peer"": 0.211}","Review the outlet's recent order decline, identify the lost SKU/category demand, and schedule a recovery visit with a targeted reorder proposal.",4275.31,14741.18,1425.1033333333337,6.257024922081906,0.2113515482911921,3.0,3.0,,,,,14741.18,4275.31,-0.71,10465.87,6.0,1.0,0.211,,,,
294,54,OPP-001555,2311,Inactive Outlet,72.74,P2,Planned,70.0,MEDIUM,"{""revenue_previous_30d"": 24904.97, ""revenue_30d"": 0.0, ""orders_previous_30d"": 3, ""orders_30d"": 0, ""days_since_last_order"": 32}","Prioritize a win-back visit, diagnose the reason for inactivity, and attempt a targeted reorder based on the outlet's prior mix.",0.0,24904.97,0.0,0.0,0.0,1.0,1.0,,,,,24904.97,0.0,,,3.0,0.0,,32.0,,,
295,116,OPP-001643,2428,Revenue Recovery,72.57,P2,Planned,85.71,HIGH,"{""revenue_previous_30d"": 8240.53, ""revenue_30d"": 832.87, ""revenue_growth_30d"": -0.8989, ""revenue_gap_vs_previous_30d"": 7407.66, ""orders_previous_30d"": 3, ""orders_30d"": 1, ""revenue_index_vs_peer"": 0.148}","Review the outlet's recent order decline, identify the lost SKU/category demand, and schedule a recovery visit with a targeted reorder proposal.",832.87,8240.529999999999,832.87,1.957638367051259,0.1477665668983161,1.0,0.0,,,,,8240.53,832.87,-0.8989,7407.66,3.0,1.0,0.148,,,,
296,117,OPP-001935,2833,Revenue Recovery,72.52,P2,Planned,85.08,HIGH,"{""revenue_previous_30d"": 9759.87, ""revenue_30d"": 781.38, ""revenue_growth_30d"": -0.9199, ""revenue_gap_vs_previous_30d"": 8978.49, ""orders_previous_30d"": 5, ""orders_30d"": 1, ""revenue_index_vs_peer"": 0.421}","Review the outlet's recent order decline, identify the lost SKU/category demand, and schedule a recovery visit with a targeted reorder proposal.",781.38,9759.87,260.46,4.7490286243570505,0.4208660993213401,3.0,2.0,,,,,9759.87,781.38,-0.9199,8978.49,5.0,1.0,0.421,,,,
297,118,OPP-001715,2535,Revenue Recovery,72.5,P2,Planned,69.91,MEDIUM,"{""revenue_previous_30d"": 19413.6, ""revenue_30d"": 5185.41, ""revenue_growth_30d"": -0.7329, ""revenue_gap_vs_previous_30d"": 14228.19, ""orders_previous_30d"": 2, ""orders_30d"": 1, ""revenue_index_vs_peer"": 0.26}","Review the outlet's recent order decline, identify the lost SKU/category demand, and schedule a recovery visit with a targeted reorder proposal.",5185.41,19413.6,0.0,7.035889834682553,0.2596275527919771,0.0,0.0,,,,,19413.6,5185.41,-0.7329,14228.19,2.0,1.0,0.26,,,,
298,121,OPP-000120,207,Cross-Sell,72.49,P2,Planned,87.0,HIGH,"{""target_category"": ""Beverages"", ""territory_category_rank"": 2, ""territory_category_orders_90d"": 1822, ""current_category_count_90d"": 3}","Introduce Beverages during the next outlet visit and assess fit, expected demand, and an initial reorder quantity.",0.0,0.0,0.0,0.0,0.0,2.0,0.0,Beverages,2.0,1822.0,3.0,,,,,,,,,,,
299,122,OPP-000143,240,Cross-Sell,72.49,P2,Planned,87.0,HIGH,"{""target_category"": ""Beverages"", ""territory_category_rank"": 2, ""territory_category_orders_90d"": 1822, ""current_category_count_90d"": 3}","Introduce Beverages during the next outlet visit and assess fit, expected demand, and an initial reorder quantity.",0.0,3080.0,0.0,6.123025414209704,0.0,4.0,3.0,Beverages,2.0,1822.0,3.0,,,,,,,,,,,
300,123,OPP-000266,431,Cross-Sell,72.49,P2,Planned,87.0,HIGH,"{""target_category"": ""Beverages"", ""territory_category_rank"": 2, ""territory_category_orders_90d"": 1822, ""current_category_count_90d"": 3}","Introduce Beverages during the next outlet visit and assess fit, expected demand, and an initial reorder quantity.",2075.05,0.0,1037.525,12.21036390715169,1.53918332529763,2.0,1.0,Beverages,2.0,1822.0,3.0,,,,,,,,,,,
301,124,OPP-000319,513,Cross-Sell,72.49,P2,Planned,87.0,HIGH,"{""target_category"": ""Beverages"", ""territory_category_rank"": 2, ""territory_category_orders_90d"": 1822, ""current_category_count_90d"": 3}","Introduce Beverages during the next outlet visit and assess fit, expected demand, and an initial reorder quantity.",1707.39,1232.24,1707.39,8.437438846247359,1.2664688647405704,1.0,0.0,Beverages,2.0,1822.0,3.0,,,,,,,,,,,
302,125,OPP-000329,527,Cross-Sell,72.49,P2,Planned,87.0,HIGH,"{""target_category"": ""Beverages"", ""territory_category_rank"": 2, ""territory_category_orders_90d"": 1822, ""current_category_count_90d"": 3}","Introduce Beverages during the next outlet visit and assess fit, expected demand, and an initial reorder quantity.",0.0,2165.03,0.0,0.0,0.0,0.0,0.0,Beverages,2.0,1822.0,3.0,,,,,,,,,,,
303,126,OPP-001265,1902,Cross-Sell,72.49,P2,Planned,87.0,HIGH,"{""target_category"": ""Beverages"", ""territory_category_rank"": 2, ""territory_category_orders_90d"": 1822, ""current_category_count_90d"": 3}","Introduce Beverages during the next outlet visit and assess fit, expected demand, and an initial reorder quantity.",1934.57,1764.92,483.6425,4.90946183637428,0.342021006702273,4.0,2.0,Beverages,2.0,1822.0,3.0,,,,,,,,,,,
304,127,OPP-001312,1974,Cross-Sell,72.49,P2,Planned,87.0,HIGH,"{""target_category"": ""Beverages"", ""territory_category_rank"": 2, ""territory_category_orders_90d"": 1822, ""current_category_count_90d"": 3}","Introduce Beverages during the next outlet visit and assess fit, expected demand, and an initial reorder quantity.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,Beverages,2.0,1822.0,3.0,,,,,,,,,,,
305,128,OPP-001419,2128,Cross-Sell,72.49,P2,Planned,87.0,HIGH,"{""target_category"": ""Beverages"", ""territory_category_rank"": 2, ""territory_category_orders_90d"": 1822, ""current_category_count_90d"": 3}","Introduce Beverages during the next outlet visit and assess fit, expected demand, and an initial reorder quantity.",0.0,2576.82,0.0,0.0,0.0,0.0,0.0,Beverages,2.0,1822.0,3.0,,,,,,,,,,,
306,129,OPP-001540,2290,Cross-Sell,72.49,P2,Planned,87.0,HIGH,"{""target_category"": ""Beverages"", ""territory_category_rank"": 2, ""territory_category_orders_90d"": 1822, ""current_category_count_90d"": 3}","Introduce Beverages during the next outlet visit and assess fit, expected demand, and an initial reorder quantity.",334.32,1540.04,167.16,0.9605154927368056,0.0591058803562052,2.0,1.0,Beverages,2.0,1822.0,3.0,,,,,,,,,,,
